GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot (ignored), GetBattleInfo, killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, GetBattleInfo
Shoot (ignored), MoveForward, killed, killed, Shoot (ignored), Shoot (ignored), killed, killed, RotateLeft45
GetBattleInfo, RotateRight45, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, MoveForward
Shoot, GetBattleInfo, killed, killed, Shoot, RotateLeft90, killed, killed, GetBattleInfo
Shoot (ignored), Shoot, killed, killed, Shoot (ignored), RotateLeft90 (killed), killed, killed, MoveForward
GetBattleInfo, DoNothing, killed, killed, GetBattleInfo, killed, killed, killed, MoveForward
Shoot (ignored), GetBattleInfo, killed, killed, Shoot (ignored), killed, killed, killed, GetBattleInfo
Shoot (ignored), RotateLeft45, killed, killed, Shoot (ignored), killed, killed, killed, MoveForward
GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, RotateRight45
Shoot, GetBattleInfo, killed, killed, Shoot, killed, killed, killed, GetBattleInfo
Shoot (ignored), RotateLeft45, killed, killed, Shoot (ignored), killed, killed, killed, MoveForward
GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, RotateLeft45
Shoot (ignored), GetBattleInfo, killed, killed, Shoot (ignored), killed, killed, killed, GetBattleInfo
Shoot (ignored), MoveForward, killed, killed, Shoot (ignored), killed, killed, killed, MoveForward
GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, MoveForward
Shoot, GetBattleInfo, killed, killed, Shoot, killed, killed, killed, GetBattleInfo
Shoot (ignored), RotateRight45, killed, killed, Shoot (ignored), killed, killed, killed, RotateRight45
GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, Shoot
Shoot (ignored), GetBattleInfo, killed, killed, Shoot (ignored), killed, killed, killed, GetBattleInfo
Shoot (ignored), MoveForward, killed, killed, Shoot (ignored), killed, killed, killed, DoNothing
GetBattleInfo, RotateRight45, killed, killed, GetBattleInfo, killed, killed, killed, DoNothing
Shoot, GetBattleInfo, killed, killed, RotateLeft90, killed, killed, killed, GetBattleInfo
Shoot (ignored), MoveForward, killed, killed, RotateLeft90, killed, killed, killed, Shoot
GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, DoNothing
Shoot (ignored), GetBattleInfo, killed, killed, Shoot, killed, killed, killed, GetBattleInfo
Shoot (ignored), RotateLeft45, killed, killed, Shoot (ignored), killed, killed, killed, DoNothing
GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, killed, killed, killed, DoNothing
Shoot, GetBattleInfo, killed, killed, Shoot (ignored), killed, killed, killed, GetBattleInfo
Shoot (ignored), RotateRight45, killed, killed, Shoot (ignored) (killed), killed, killed, killed, Shoot
GetBattleInfo, Shoot, killed, killed, killed, killed, killed, killed, DoNothing
Shoot (ignored), GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo
Shoot (ignored), RotateRight45, killed, killed, killed, killed, killed, killed, MoveForward
GetBattleInfo, MoveForward, killed, killed, killed, killed, killed, killed, RotateLeft45
Shoot, GetBattleInfo, killed, killed, killed, killed, killed, killed, GetBattleInfo
Shoot (ignored), RotateLeft45 (killed), killed, killed, killed, killed, killed, killed, Shoot
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, DoNothing
Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, GetBattleInfo
Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, RotateRight45
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, MoveForward
Shoot, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo
Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, RotateRight45
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, MoveForward
Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, GetBattleInfo
Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, RotateRight45
RotateLeft45, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo
Shoot, killed, killed, killed, killed, killed, killed, killed, MoveForward
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, RotateLeft45
Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, GetBattleInfo
Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, MoveForward
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, MoveForward
MoveForward, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo
Shoot, killed, killed, killed, killed, killed, killed, killed, RotateRight90
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, MoveForward
Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, GetBattleInfo
Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, RotateLeft90
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, Shoot
RotateLeft90, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo
RotateLeft90, killed, killed, killed, killed, killed, killed, killed, DoNothing
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, DoNothing
Shoot, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo
Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, Shoot
GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, DoNothing
Shoot (ignored) (killed), killed, killed, killed, killed, killed, killed, killed, GetBattleInfo
Player 1 won with 1 tanks still alive
