GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot (ignored), RotateLeft90, Shoot (ignored), DoNothing, GetBattleInfo, killed, killed, killed
Shoot (ignored), MoveForward, Shoot (ignored), DoNothing, DoNothing, killed, killed, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, killed, killed, killed
Shoot, MoveForward, Shoot, RotateRight90, GetBattleInfo, killed, killed, killed
Shoot (ignored), MoveForward, Shoot (ignored), Shoot, Shoot, killed, killed, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, killed, killed, killed
Shoot (ignored), RotateRight45, Shoot (ignored), DoNothing, GetBattleInfo, killed, killed, killed
Shoot (ignored), Shoot, Shoot (ignored), DoNothing, DoNothing, killed, killed, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, killed, killed, killed
Shoot, DoNothing, Shoot, Shoot, GetBattleInfo, killed, killed, killed
Shoot (ignored), DoNothing, Shoot (ignored), DoNothing, Shoot, killed, killed, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, killed, killed, killed
RotateRight90, Shoot, Shoot (ignored), DoNothing, GetBattleInfo, killed, killed, killed
MoveForward, DoNothing, Shoot (ignored), DoNothing, DoNothing, killed, killed, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, killed, killed, killed
Shoot, DoNothing, Shoot, Shoot, GetBattleInfo, killed, killed, killed
Shoot (ignored), DoNothing, Shoot (ignored), DoNothing, Shoot, killed, killed, killed
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, DoNothing, killed, killed, killed
Shoot (ignored), Shoot, Shoot (ignored), DoNothing, GetBattleInfo, killed, killed, killed
Shoot (ignored), DoNothing, Shoot (ignored), DoNothing, DoNothing (killed), killed, killed, killed
Player 2 won with 4 tanks still alive
