GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot, DoNothing, killed, killed, killed, killed, Shoot (ignored), Shoot, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot (ignored), Shoot, killed, killed, killed, killed, Shoot, DoNothing, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot, DoNothing, killed, killed, killed, killed, RotateRight90, Shoot, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, MoveForward, DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
RotateRight45, Shoot, killed, killed, killed, killed, Shoot, DoNothing, killed, killed
MoveForward, DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot, DoNothing, killed, killed, killed, killed, Shoot (ignored), Shoot, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot (ignored), Shoot, killed, killed, killed, killed, Shoot, DoNothing, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot, DoNothing, killed, killed, killed, killed, Shoot (ignored), Shoot, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, RotateRight45, DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot (ignored), Shoot, killed, killed, killed, killed, Shoot, DoNothing, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot, DoNothing, killed, killed, killed, killed, Shoot (ignored), Shoot, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot (ignored), Shoot, killed, killed, killed, killed, Shoot, DoNothing, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot, DoNothing, killed, killed, killed, killed, RotateLeft45, Shoot, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, MoveForward, DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot (ignored), Shoot, killed, killed, killed, killed, Shoot, DoNothing, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot, DoNothing, killed, killed, killed, killed, Shoot (ignored), Shoot, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot (ignored), Shoot, killed, killed, killed, killed, Shoot, DoNothing, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot, DoNothing, killed, killed, killed, killed, Shoot (ignored), Shoot, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, RotateRight45, DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot (ignored), Shoot, killed, killed, killed, killed, MoveForward, DoNothing, killed, killed
RotateRight45, DoNothing, killed, killed, killed, killed, Shoot, DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
MoveForward, DoNothing, killed, killed, killed, killed, Shoot (ignored), Shoot, killed, killed
Shoot, DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot (ignored), Shoot, killed, killed, killed, killed, Shoot, DoNothing, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot, DoNothing, killed, killed, killed, killed, Shoot (ignored), Shoot, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot (ignored), Shoot, killed, killed, killed, killed, Shoot, DoNothing, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot, DoNothing, killed, killed, killed, killed, Shoot (ignored), Shoot, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot (ignored), Shoot, killed, killed, killed, killed, Shoot, DoNothing, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot, DoNothing, killed, killed, killed, killed, Shoot (ignored), Shoot, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot (ignored), Shoot, killed, killed, killed, killed, Shoot, DoNothing, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot, DoNothing, killed, killed, killed, killed, Shoot (ignored), Shoot, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot (ignored), Shoot, killed, killed, killed, killed, Shoot, DoNothing, killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), DoNothing, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed
Shoot, DoNothing, killed, killed, killed, killed, Shoot (ignored), MoveForward (killed), killed, killed
Shoot (ignored), DoNothing, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed
Shoot (ignored), MoveBackward, killed, killed, killed, killed, Shoot, killed, killed, killed
Shoot (ignored), MoveBackward (ignored), killed, killed, killed, killed, DoNothing, killed, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed
Shoot, RotateLeft90, killed, killed, killed, killed, DoNothing, killed, killed, killed
DoNothing, RotateLeft90, killed, killed, killed, killed, DoNothing, killed, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed
DoNothing, MoveForward, killed, killed, killed, killed, DoNothing, killed, killed, killed
DoNothing, RotateRight90, killed, killed, killed, killed, DoNothing, killed, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed
DoNothing, RotateLeft90, killed, killed, killed, killed, DoNothing, killed, killed, killed
DoNothing, RotateRight90, killed, killed, killed, killed, DoNothing, killed, killed, killed
GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed
DoNothing, MoveForward, killed, killed, killed, killed, DoNothing, killed, killed, killed
DoNothing, MoveForward (killed), killed, killed, killed, killed, DoNothing, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
DoNothing, killed, killed, killed, killed, killed, DoNothing, killed, killed, killed
GetBattleInfo, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed
Tie, both players have zero shells for 40 steps
